month	INP	CPI	EMP	HP	CD	loan	KOSPI	FX	MPrate
1-06	71.1910057	75.33019568	23090	50.68917786	4.15	391955.4	1399.83	987.03	3.75
2-06	70.96002132	75.32227217	23093	51.20620747	4.25	394899.3	1371.59	970.22	4
3-06	71.19328222	75.58675971	23130	52.19464644	4.27	398058.2	1359.6	975.09	4
4-06	71.17682568	75.69118988	23121	53.12732732	4.33	402414.5	1419.73	954.44	4
5-06	71.37367525	75.91519744	23151	53.81163122	4.36	407842	1317.7	941.4	4
6-06	70.77629849	75.93920118	23155	54.10562845	4.47	412583.5	1295.15	955.16	4.25
7-06	71.08373331	76.24145671	23153	54.29317841	4.63	416151	1297.82	950.15	4.25
8-06	72.37514515	76.54033063	23186	54.88117287	4.68	419683.2	1352.74	960.72	4.5
9-06	73.38434971	76.6627531	23201	55.92030102	4.64	424584.6	1371.41	953.68	4.5
10-06	74.05985263	76.5178313	23258	58.13034917	4.57	429295	1364.55	954.23	4.5
11-06	73.79244494	76.50249779	23329	60.54315404	4.6	436398.1	1432.21	936.22	4.5
12-06	74.0345245	76.71913986	23387	61.15142417	4.76	443348.2	1434.46	925.75	4.5
1-07	74.52608308	76.59680196	23476	61.73434972	4.92	442116.3	1360.23	936.36	4.5
2-07	74.51847566	76.95534489	23488	61.73941863	4.95	445113.7	1417.34	937.02	4.5
3-07	75.08347927	77.23487562	23517	61.85093483	4.94	446559.6	1452.55	943.26	4.5
4-07	74.76825145	77.55862852	23501	61.69379837	4.95	448897.8	1542.24	931.5	4.5
5-07	75.27291966	77.7003551	23508	61.74448755	5.04	450369	1700.91	927.91	4.5
6-07	75.87829231	77.86898653	23542	61.55693759	5.03	453063.8	1743.6	928.32	4.5
7-07	76.84838689	78.17006862	23543	61.70393621	5.05	455971.5	1933.27	918.85	4.75
8-07	77.00880699	78.10013831	23541	61.88134833	5.21	460929.6	1873.24	933.8	5
9-07	77.71971903	78.44737203	23565	61.98779561	5.34	462807	1946.48	932.41	5
10-07	78.13479679	78.82529042	23628	62.15000097	5.34	467870.9	2064.85	915.86	5
11-07	79.25230265	79.18166344	23689	62.1854834	5.43	472698.3	1906	916.98	5
12-07	79.43873998	79.4739152	23728	62.30713743	5.73	474094.4	1897.13	930.24	5
1-08	78.86359682	79.57013612	23785	62.57072115	5.81	473606.9	1624.68	942.39	5
2-08	78.78177967	79.70320373	23778	62.97623457	5.28	476919.4	1711.62	944.69	5
3-08	78.46372104	80.2969782	23775	63.59971146	5.25	480414.6	1703.99	979.86	5
4-08	79.21207862	80.76948762	23780	64.19784376	5.38	485302.9	1825.47	986.66	5
5-08	78.93896621	81.49561142	23780	64.63377069	5.36	489620.6	1852.02	1036.73	5
6-08	79.05753851	82.18141962	23789	64.922699	5.36	494953.7	1674.92	1029.27	5
7-08	79.02517604	82.78006126	23799	64.81118281	5.52	498816.4	1594.67	1019.12	5
8-08	79.08085169	82.4852473	23769	64.72501121	5.77	502479.5	1474.24	1041.54	5.25
9-08	78.88624251	82.46144758	23736	64.48677207	5.79	506379.7	1448.06	1130.4	5.25
10-08	77.34412944	82.61967457	23766	63.90891545	6.03	509177.8	1113.06	1326.92	4.25
11-08	75.36122881	82.75387408	23797	63.12323319	5.62	511993.9	1076.07	1390.09	4
12-08	73.64988665	82.74836792	23737	61.78503889	4.68	515264	1124.47	1373.84	3
1-09	74.43598016	82.53881529	23703	60.82194451	3.22	511998.3	1162.11	1346.1	2.5
2-09	75.72948616	82.9634405	23638	60.70029049	2.7	514789.4	1063.03	1429.46	2
3-09	77.32094235	83.42901584	23575	60.6749459	2.45	516625.8	1206.26	1461.98	2
4-09	77.44153398	83.6783558	23584	61.24266469	2.42	518871.1	1369.36	1341.9	2
5-09	78.74093036	83.73278384	23546	61.86614158	2.41	522217.3	1395.89	1258.71	2
6-09	79.29080966	83.82501977	23765	62.52510089	2.41	527686.8	1390.07	1261.35	2
7-09	80.26147373	84.12951782	23691	63.24488722	2.41	532047.6	1557.29	1263.97	2
8-09	81.49486745	84.27196855	23724	64.0660519	2.48	536675.5	1591.85	1238.4	2
9-09	81.6234222	84.24502801	23785	64.70473554	2.64	537787.6	1673.14	1219.15	2
10-09	81.97368563	84.25612104	23769	64.76049363	2.79	541111.7	1580.69	1175.25	2
11-09	81.51311046	84.76320293	23769	64.49690991	2.79	545793.5	1555.6	1164.23	2
12-09	82.23155267	85.05287865	23699	64.27894644	2.82	549760	1682.77	1166.45	2
1-10	83.32537615	85.42307366	23683	64.56280584	2.88	548723.3	1602.43	1138.82	2
