time,announcement time,before,after,befor_KTB,after_KTB,before_KOSPI,after_KOSPI
2008-08-07,10:03,9:53,10:23,105.95,105.86,202.75,201.7
2008-09-11,10:15,10:05,10:35,106.19,106.23,187.55,187.95
2008-10-09,11:06,10:56,11:26,106.97,107.15,170.6,172.65
2008-10-27,9:36,9:26,9:56,109.65,110.07,123.9,126.2
2008-11-07,10:07,9:57,10:27,109.75,109.43,139.65,138.45
2008-12-11,9:58,9:48,10:18,109.94,110.49,151.1,151.85
2009-01-09,10:11,10:01,10:31,112.9,112.68,156.65,155.4
2009-02-12,10:13,10:03,10:33,111.8,111.95,154.2,153.8
2009-03-12,10:44,10:34,11:04,111.84,111.85,147.15,146.5
2009-04-09,9:47,9:37,10:07,110.22,110.15,166.1,166.3
2009-05-12,10:07,9:57,10:27,110.63,110.57,180.85,180.05
2009-06-11,9:47,9:37,10:07,110.67,110.71,182,182.15
2009-07-09,9:41,9:31,10:01,110.17,110.24,184.3,184.85
2009-08-11,9:46,9:36,10:06,109.26,109.26,204.7,204.8
2009-09-10,10:02,9:52,10:22,110,110.05,212.4,212.75
2009-10-09,10:03,9:53,10:23,108.76,108.85,213.75,215
2009-11-12,10:39,10:29,10:59,109.04,109.09,211,210.4
2009-12-10,9:58,9:48,10:18,110.2,110.19,216.3,216.35
2010-01-08,10:01,9:51,10:21,109.19,109.09,223.05,222.2
2010-02-11,9:48,9:38,10:08,109.81,109.89,207.9,208.05
2010-03-11,10:01,9:51,10:21,111.01,111.04,218.75,218.8
2010-04-09,10:02,9:52,10:22,111.21,111.07,226.8,226.5
2010-05-12,9:56,9:46,10:16,111.43,111.39,219,218.95
2010-06-10,10:20,10:10,10:40,111.71,111.73,215.1,215.2
2010-07-09,10:26,10:16,10:46,110.22,109.96,221.9,222.35
2010-08-12,10:22,10:12,10:42,111.31,111.37,226.7,226.15
2010-09-09,10:00,9:50,10:20,112.24,112.59,232.3,231.5
2010-10-14,10:19,10:09,10:39,112.76,113,246.4,246.6
2010-11-16,10:19,10:09,10:39,111.97,111.83,248.9,248.4
2010-12-09,10:00,9:50,10:20,112.59,112.6,259.25,259.4
2011-01-13,10:20,10:10,10:40,103.12,102.92,278.8,278
2011-02-11,10:10,10:00,10:30,102.35,102.49,265.1,264.95
2011-03-10,10:13,10:03,10:33,103.01,103.23,261.85,260.75
2011-04-12,10:22,10:12,10:42,102.96,102.99,278.95,278.95
2011-05-13,10:03,9:53,10:23,103.36,103.63,278.8,279.25
2011-06-10,10:20,10:10,10:40,103.59,103.57,274.4,273.75
2011-07-14,10:18,10:08,10:38,103.35,103.3,277.2,276.55
2011-08-11,10:15,10:05,10:35,104.36,104.33,228.65,227.7
2011-09-08,10:13,10:03,10:33,104.37,104.44,238.15,238.25
2011-10-13,10:05,9:55,10:25,104.29,104.29,240.1,239.1
2011-11-11,10:13,10:03,10:33,104.59,104.54,238.1,238.7
2011-12-08,10:08,9:58,10:28,104.63,104.61,250.75,249.6
2012-01-13,10:09,9:59,10:29,104.45,104.45,247.1,247
2012-02-09,10:09,9:59,10:29,104.27,104.25,260.65,260.95
2012-03-08,10:08,9:58,10:28,104.09,104.09,260.5,260.45
2012-04-13,10:10,10:00,10:30,103.97,103.97,268.45,268.5
2012-05-10,10:09,9:59,10:29,104.47,104.49,257.7,257.55
2012-06-08,10:14,10:04,10:34,104.79,104.79,244.9,244.85
2012-07-12,10:12,10:02,10:32,105.08,105.47,241,240.45
2012-08-09,10:13,10:03,10:33,106.19,106.16,256.8,256.9
2012-09-13,10:11,10:01,10:31,106.05,105.85,257.2,256.7
2012-10-11,10:04,9:54,10:24,106.64,106.51,256.25,256
2012-11-09,10:13,10:03,10:33,106.33,106.26,245.8,246.2
2012-12-13,10:13,10:03,10:33,105.97,105.97,262.9,263
2013-01-11,10:11,10:01,10:31,106.24,106.25,266.4,265.5
2013-02-14,10:10,10:00,10:30,106.29,106.27,261.8,261.8
2013-03-14,10:10,10:00,10:30,106.74,106.68,262.2,261.2
2013-04-11,10:17,10:07,10:37,107.04,106.8,256.1,255.05
2013-05-09,10:16,10:06,10:36,107.15,107.25,256.15,257.85
2013-06-13,10:08,9:58,10:28,105.89,105.92,247.6,246.5
2013-07-11,10:10,10:00,10:30,105.7,105.63,241.8,241.75
2013-08-08,10:15,10:05,10:35,105.6,105.6,243.5,243.55
2013-09-12,10:07,9:57,10:27,105.75,105.76,263.15,263.65
2013-10-10,10:10,10:00,10:30,105.84,105.82,264.85,264.8
2013-11-14,10:07,9:57,10:27,105.73,105.71,259.25,259.15
2013-12-12,10:08,9:58,10:28,105.43,105.43,258.2,258.05
2014-01-09,10:10,10:00,10:30,105.69,105.66,256.8,255.95
2014-02-13,10:10,10:00,10:30,105.87,105.88,253.15,252.45
2014-03-13,10:10,10:00,10:30,105.95,105.95,251.3,251.6
2014-04-10,9:55,9:45,10:15,105.84,105.88,263.85,263.65
2014-05-09,9:56,9:46,10:16,105.97,105.95,253.95,253.9
